CGPA,Internships,Projects,Communication,CP,DSA,ML,Cloud,Backlogs,Certs,Tier,ResumeScore,Placement
6.01,0,5,1,1,2,1,1,0,4,Tier 2,70,None
6.44,1,1,3,0,4,1,1,0,2,Tier 1,83,None
9.17,1,3,3,0,4,0,0,1,4,Tier 1,60,None
6.95,3,1,5,1,5,0,1,0,4,Tier 2,97,Service
9.47,2,5,1,0,3,0,0,0,0,Tier 1,79,None
9.85,0,4,5,0,1,0,0,1,4,Tier 3,60,None
6.99,2,4,4,1,2,1,1,0,4,Tier 2,62,Service
7.0,2,2,1,0,2,0,0,1,4,Tier 1,66,Service
9.14,1,3,2,0,2,0,0,1,5,Tier 2,97,None
6.98,2,5,3,0,5,1,1,1,2,Tier 1,70,Service
6.09,2,3,5,0,1,0,0,0,3,Tier 3,71,None
6.46,3,4,4,1,1,0,0,0,2,Tier 2,99,None
9.27,1,1,1,1,5,1,0,0,0,Tier 2,48,None
8.71,2,5,3,0,2,1,0,0,1,Tier 1,44,None
9.51,0,4,4,1,1,0,0,0,4,Tier 1,46,None
8.57,3,1,1,0,4,0,1,0,0,Tier 3,81,None
7.52,1,5,5,1,4,0,1,1,3,Tier 3,86,Service
9.52,0,5,2,1,1,0,1,0,3,Tier 2,62,None
7.22,3,5,2,1,5,1,0,0,1,Tier 3,90,Service
9.45,1,4,5,1,3,0,1,0,0,Tier 1,72,None
8.04,3,2,1,1,3,0,0,0,3,Tier 1,100,Service
9.68,1,1,5,1,3,0,0,1,2,Tier 1,98,None
6.59,2,5,5,1,5,1,1,0,2,Tier 1,85,Service
7.37,1,4,2,0,2,0,1,0,5,Tier 3,70,Service
8.6,0,4,1,1,4,0,0,0,1,Tier 2,73,None
9.19,1,5,5,1,1,0,0,0,1,Tier 3,96,None
9.78,1,5,4,1,4,1,0,1,1,Tier 1,44,None
6.91,3,5,2,1,2,1,1,0,0,Tier 1,50,None
8.66,3,3,1,0,5,1,0,0,0,Tier 2,53,None
7.14,0,2,4,0,1,1,0,1,4,Tier 1,77,Service
7.7,1,4,4,0,2,1,0,0,1,Tier 2,92,Service
9.8,3,1,4,0,3,1,0,0,0,Tier 1,60,None
7.63,3,4,1,1,1,0,0,0,1,Tier 1,51,None
7.66,3,2,4,0,2,0,1,1,5,Tier 2,75,Service
7.99,0,3,3,0,1,0,1,0,1,Tier 3,68,None
6.56,1,3,2,1,3,1,1,1,0,Tier 2,49,None
8.94,1,2,3,1,4,0,0,0,2,Tier 1,85,None
6.04,1,4,5,0,4,0,1,1,1,Tier 2,77,None
9.89,1,1,3,0,1,1,1,0,0,Tier 3,40,None
9.05,3,2,2,1,3,1,0,1,0,Tier 1,67,None
8.38,2,1,4,1,3,0,1,1,5,Tier 3,84,None
9.18,1,3,4,0,3,0,0,0,4,Tier 3,74,None
8.39,1,3,1,0,5,1,1,0,0,Tier 1,70,None
9.07,2,1,2,0,5,1,0,0,5,Tier 1,68,None
8.04,1,5,2,0,1,0,0,0,0,Tier 2,69,Service
9.14,0,3,4,0,4,0,1,0,0,Tier 3,85,None
6.55,1,2,1,1,3,0,0,1,5,Tier 1,72,Service
6.81,2,5,4,1,3,0,1,1,3,Tier 3,47,None
9.48,2,3,4,1,2,0,1,0,4,Tier 1,56,None
9.04,3,2,5,0,5,0,1,1,0,Tier 1,69,None
6.49,1,4,4,0,2,0,0,0,5,Tier 3,68,None
8.43,3,3,1,1,2,0,1,0,4,Tier 2,79,None
9.32,1,1,5,0,3,1,1,0,0,Tier 2,59,None
6.42,3,1,3,0,2,0,1,0,1,Tier 2,97,None
7.71,1,5,2,0,3,1,1,1,2,Tier 1,47,None
6.1,0,3,5,1,1,1,1,0,4,Tier 3,65,None
7.84,0,5,2,1,4,0,0,1,5,Tier 1,85,Service
8.88,1,3,4,1,2,0,1,1,0,Tier 1,63,None
6.96,2,5,3,0,5,1,0,1,1,Tier 2,47,None
6.08,0,4,4,0,5,0,0,0,5,Tier 1,87,None
7.86,3,5,4,0,4,1,1,0,1,Tier 2,71,Service
8.97,2,5,2,1,1,1,1,0,2,Tier 1,95,Product
6.65,1,2,2,1,1,1,0,1,2,Tier 1,76,Service
8.32,2,5,3,0,4,1,1,0,5,Tier 3,60,None
8.8,3,2,1,0,2,0,0,0,0,Tier 3,80,None
8.37,3,4,1,0,2,0,0,1,0,Tier 1,50,None
6.63,0,4,3,0,4,1,0,0,3,Tier 2,86,Service
8.16,0,2,5,0,1,1,0,0,0,Tier 1,46,None
9.5,1,3,2,1,4,1,0,0,1,Tier 2,87,Product
9.92,2,5,5,0,2,0,1,0,5,Tier 2,48,None
9.94,3,1,1,0,3,1,1,1,5,Tier 3,82,None
9.27,1,1,5,0,5,0,0,1,2,Tier 1,43,None
9.51,3,3,3,0,2,0,0,1,2,Tier 2,71,None
8.89,3,4,1,0,2,0,0,1,5,Tier 1,90,None
7.67,2,3,3,0,3,0,1,0,0,Tier 3,89,Service
8.55,3,2,4,1,4,0,1,1,0,Tier 3,95,None
6.76,3,3,4,1,2,1,0,0,5,Tier 3,59,None
8.39,3,5,2,0,5,1,0,1,2,Tier 1,69,None
7.98,0,3,2,0,4,0,1,1,2,Tier 3,66,Service
9.54,1,1,2,0,4,1,1,1,2,Tier 1,100,None
8.82,3,3,1,0,3,0,1,1,1,Tier 1,54,None
7.06,3,2,2,0,4,1,1,1,4,Tier 3,63,Service
7.6,2,1,3,1,3,1,1,0,3,Tier 2,61,Service
8.42,0,5,3,1,2,1,0,1,2,Tier 2,94,Product
7.8,2,1,1,0,2,1,0,1,0,Tier 2,96,Service
6.23,1,1,1,0,3,0,0,0,1,Tier 3,83,None
9.5,3,4,1,1,5,0,1,1,1,Tier 3,48,None
8.18,0,5,1,1,2,1,0,1,2,Tier 3,48,None
6.77,3,2,3,0,5,1,0,1,3,Tier 1,88,Service
7.89,2,1,2,0,5,1,1,0,3,Tier 3,63,Service
7.76,1,5,4,1,5,1,1,1,2,Tier 1,42,None
7.74,2,4,2,0,2,1,1,0,4,Tier 1,58,None
6.93,0,5,5,0,1,0,0,0,4,Tier 2,59,None
6.96,0,5,2,1,2,1,1,0,4,Tier 1,45,None
6.43,0,3,1,1,3,1,1,1,1,Tier 3,56,None
6.31,2,3,3,1,3,1,1,1,1,Tier 2,82,None
7.78,0,3,1,0,2,1,1,0,2,Tier 3,53,None
7.64,1,4,4,0,4,0,0,0,3,Tier 1,58,None
9.16,1,4,3,1,2,0,1,1,4,Tier 2,65,None
6.87,0,3,5,1,5,1,0,1,4,Tier 3,72,Service
9.64,0,3,3,1,3,1,0,0,1,Tier 3,69,None
8.51,2,3,5,1,5,0,0,1,1,Tier 1,72,None
6.2,0,1,5,1,4,1,0,0,4,Tier 2,95,None
7.34,3,2,5,1,1,1,1,0,4,Tier 3,63,Service
7.92,3,3,4,0,4,0,0,0,2,Tier 3,94,Service
7.01,0,2,5,0,5,0,1,0,1,Tier 1,99,None
6.42,0,3,1,0,3,0,0,1,5,Tier 3,66,None
9.41,1,4,1,1,1,0,0,1,0,Tier 1,44,None
7.61,0,3,4,0,2,1,0,1,2,Tier 2,98,Service
8.65,3,5,3,0,1,0,0,0,0,Tier 2,84,None
8.95,3,2,1,0,5,1,1,0,5,Tier 1,95,None
6.8,0,5,1,0,2,1,1,1,0,Tier 2,62,None
6.78,1,2,2,0,5,1,0,1,4,Tier 3,68,Service
8.44,3,4,3,0,2,0,1,1,1,Tier 1,77,None
9.47,1,2,3,0,3,1,1,1,2,Tier 3,69,None
9.62,2,4,3,1,3,0,0,1,4,Tier 3,46,None
6.23,3,4,4,0,3,1,0,1,2,Tier 3,95,None
8.19,2,4,3,0,3,1,1,0,5,Tier 1,75,Service
8.41,0,5,4,1,4,0,0,0,2,Tier 1,43,None
8.36,3,3,3,0,1,1,1,0,5,Tier 2,68,None
9.75,1,5,1,1,3,1,1,0,4,Tier 3,90,Product
9.76,2,5,2,0,2,1,1,0,4,Tier 3,91,None
7.39,1,5,2,0,3,1,0,1,0,Tier 1,52,None
9.24,0,5,2,0,1,1,1,1,0,Tier 3,97,None
6.41,2,4,4,1,4,1,0,1,1,Tier 3,81,None
7.8,1,2,2,1,3,1,1,1,3,Tier 3,78,Service
8.29,0,2,2,0,2,0,0,1,5,Tier 2,93,None
7.26,2,3,1,1,2,1,0,0,2,Tier 3,98,Service
7.79,0,1,4,0,5,0,1,1,3,Tier 2,91,Service
7.57,0,5,3,1,5,0,0,0,3,Tier 3,83,Service
9.25,3,4,5,1,2,0,0,1,1,Tier 1,46,None
6.08,2,2,3,0,5,1,0,0,0,Tier 3,52,None
9.62,0,3,5,1,3,0,0,0,0,Tier 2,89,None
8.62,3,3,1,1,5,0,1,1,3,Tier 3,74,None
9.96,0,2,2,1,3,0,0,1,2,Tier 1,42,None
6.85,2,2,5,0,5,0,1,0,4,Tier 2,49,None
8.31,2,5,5,1,2,1,1,1,5,Tier 1,80,None
8.99,0,5,4,1,3,0,0,0,5,Tier 3,79,None
8.2,2,5,4,1,3,0,1,0,3,Tier 2,62,None
8.54,0,3,2,0,5,0,1,0,3,Tier 1,63,None
6.01,1,4,5,0,1,1,0,0,1,Tier 2,82,None
8.23,1,5,3,1,1,0,0,0,5,Tier 2,58,None
6.05,2,4,3,0,3,1,1,0,4,Tier 3,67,None
9.7,2,3,2,1,1,0,1,1,5,Tier 2,100,None
9.67,0,2,2,1,1,0,0,1,1,Tier 3,65,None
8.06,0,3,1,1,5,0,1,0,3,Tier 3,59,None
9.5,0,5,5,0,5,0,0,1,3,Tier 3,81,None
9.38,0,4,1,0,2,0,0,0,4,Tier 3,72,None
9.39,3,1,4,0,5,1,0,0,3,Tier 3,100,None
9.45,3,4,3,1,3,0,1,0,5,Tier 1,57,None
6.64,3,3,1,0,5,0,0,0,4,Tier 3,98,Service
6.47,1,5,1,1,1,1,1,1,4,Tier 3,65,None
8.94,0,2,3,0,4,0,1,0,3,Tier 1,54,None
7.63,0,4,5,1,5,0,1,1,2,Tier 1,46,None
9.22,0,4,1,1,4,0,1,0,0,Tier 1,93,None
7.41,1,4,4,0,4,1,0,1,5,Tier 1,70,Service
9.27,2,4,3,1,1,1,0,1,3,Tier 2,88,Product
9.1,2,1,2,1,2,1,1,0,3,Tier 2,76,None
7.95,3,1,3,1,4,0,1,0,0,Tier 3,93,Service
6.16,0,3,5,1,4,1,0,0,3,Tier 1,61,None
8.22,1,4,4,1,5,0,1,1,2,Tier 2,62,None
9.92,2,4,5,1,3,1,1,0,3,Tier 3,98,Product
6.78,3,2,2,1,3,0,0,1,3,Tier 2,81,Service
8.58,2,1,1,1,1,1,1,0,5,Tier 3,42,None
8.35,0,1,1,0,2,1,1,0,1,Tier 1,74,None
6.68,0,4,5,1,1,1,0,0,1,Tier 2,45,None
8.57,1,2,5,1,3,1,0,1,1,Tier 2,84,Product
8.8,1,2,3,0,5,1,1,0,5,Tier 3,73,None
6.84,2,5,4,0,5,1,0,1,2,Tier 1,42,None
6.87,3,1,1,0,2,1,1,1,5,Tier 3,61,Service
7.05,0,4,1,0,4,1,1,0,3,Tier 3,97,Service
6.83,2,2,3,0,5,1,0,1,2,Tier 1,80,Service
8.78,0,4,2,1,1,1,1,1,0,Tier 2,88,Product
8.79,0,2,3,0,3,0,0,0,2,Tier 3,85,None
7.72,0,2,5,0,4,0,0,0,0,Tier 2,79,None
6.36,2,4,1,1,5,1,0,1,2,Tier 2,95,None
9.82,1,5,3,1,3,1,1,0,0,Tier 1,40,None
8.88,1,5,4,0,1,1,0,1,2,Tier 2,49,None
6.6,0,5,3,0,1,0,0,0,0,Tier 3,100,None
8.97,1,1,5,1,5,0,0,0,3,Tier 2,50,None
7.2,1,5,1,0,5,1,1,0,5,Tier 3,56,None
8.67,3,4,2,1,4,0,0,1,2,Tier 2,59,None
7.74,0,2,2,0,4,1,1,0,5,Tier 1,82,Service
6.3,1,4,1,1,5,1,1,1,4,Tier 1,70,None
9.54,1,4,5,0,3,1,1,1,3,Tier 1,45,None
8.72,2,5,5,0,4,1,0,1,3,Tier 1,55,None
6.84,3,3,4,0,3,1,1,0,3,Tier 2,58,None
9.13,3,2,4,0,5,1,1,0,3,Tier 1,51,None
8.0,0,1,5,1,4,0,1,0,0,Tier 3,77,None
8.9,2,2,1,0,1,1,0,1,2,Tier 2,64,None
8.44,1,5,4,1,1,0,1,1,4,Tier 3,43,None
9.03,1,1,5,1,1,0,0,1,5,Tier 2,82,None
6.46,3,1,1,1,2,1,1,0,3,Tier 3,57,None
9.86,0,3,3,1,2,1,1,1,0,Tier 2,58,None
9.55,0,3,1,0,3,1,1,1,0,Tier 2,65,None
6.53,0,1,2,1,1,0,1,0,2,Tier 1,60,None
6.8,3,3,5,0,5,1,0,1,1,Tier 3,41,None
8.82,0,5,4,1,5,0,0,1,3,Tier 3,42,None
8.98,3,2,2,1,2,1,0,1,1,Tier 2,58,None
8.41,1,5,5,1,2,1,0,0,4,Tier 3,69,None
9.13,3,1,3,1,5,0,0,1,2,Tier 1,42,None
8.71,1,2,1,0,2,1,0,0,0,Tier 3,53,None
7.57,2,2,4,1,1,0,1,1,3,Tier 2,65,Service
8.23,0,2,4,0,3,1,1,1,0,Tier 2,50,None
7.55,3,1,4,1,1,1,0,1,5,Tier 2,76,Service
6.13,1,5,5,1,1,0,1,1,1,Tier 1,47,None
9.52,1,2,3,1,4,0,0,0,2,Tier 3,77,None
9.44,0,3,4,0,1,0,0,0,1,Tier 2,66,None
6.22,0,4,2,0,3,0,0,1,1,Tier 1,62,None
8.29,1,3,1,0,5,0,0,1,0,Tier 1,66,None
6.05,2,4,4,0,5,1,1,0,3,Tier 1,80,None
6.37,0,2,1,0,2,0,1,0,3,Tier 2,45,None
7.23,1,1,1,1,2,1,1,0,2,Tier 2,86,Service
8.26,2,1,2,1,5,1,0,1,2,Tier 1,68,None
6.79,0,3,4,0,1,1,0,0,2,Tier 2,88,Service
9.48,2,3,1,1,2,0,1,1,0,Tier 3,63,None
8.42,2,1,5,1,3,0,1,1,0,Tier 2,64,None
7.18,1,2,4,1,5,0,1,0,5,Tier 2,99,Service
9.47,1,4,5,0,1,1,1,0,2,Tier 2,69,None
9.87,1,2,4,0,2,0,0,0,5,Tier 2,67,None
8.56,1,3,5,1,4,0,0,0,5,Tier 1,46,None
8.53,3,1,3,0,3,1,1,1,3,Tier 3,44,None
7.43,3,5,2,0,2,0,1,1,3,Tier 2,92,Service
8.19,2,4,2,0,4,0,1,0,1,Tier 3,73,Service
6.18,3,4,1,1,5,0,0,0,5,Tier 3,85,None
9.58,2,1,5,1,2,1,0,0,3,Tier 3,71,None
7.4,0,2,1,1,1,1,1,0,4,Tier 2,98,Service
8.85,0,1,2,1,3,1,0,1,4,Tier 2,44,None
9.74,1,3,2,0,1,0,0,0,0,Tier 2,50,None
9.42,2,2,1,0,2,1,0,0,4,Tier 3,96,None
6.55,0,3,2,0,4,1,0,0,2,Tier 3,100,Service
7.78,0,3,4,0,1,1,0,0,3,Tier 3,91,Service
6.91,1,5,2,1,1,1,1,1,5,Tier 2,71,Service
9.66,3,4,5,0,5,1,0,0,5,Tier 2,56,None
6.97,3,2,1,1,2,0,0,0,5,Tier 3,52,None
6.8,1,1,2,1,1,1,1,1,5,Tier 3,40,None
8.74,0,3,3,0,1,0,0,0,0,Tier 2,41,None
9.77,2,2,5,0,5,0,1,0,1,Tier 2,85,None
7.31,3,4,2,0,1,0,0,0,5,Tier 1,94,Service
8.08,1,2,2,0,5,0,1,1,0,Tier 1,96,Service
9.25,2,1,4,0,1,0,1,1,1,Tier 1,56,None
7.24,1,3,5,1,5,0,1,1,0,Tier 3,56,None
6.86,0,4,3,1,3,0,0,1,1,Tier 2,100,None
6.09,1,3,1,1,1,0,1,0,2,Tier 2,70,None
6.97,3,3,2,1,2,0,1,0,5,Tier 2,73,Service
8.79,1,1,5,0,3,1,0,1,1,Tier 1,88,None
8.1,3,4,3,0,1,0,0,0,2,Tier 2,62,Service
8.98,2,2,2,1,1,0,1,0,2,Tier 3,81,None
7.3,3,4,4,0,1,0,1,1,3,Tier 2,46,None
7.85,2,4,5,1,1,1,1,0,2,Tier 3,97,Service
7.79,1,4,5,1,5,1,1,0,5,Tier 2,84,Service
7.94,0,5,3,0,2,1,0,0,4,Tier 1,96,Service
9.62,0,3,4,0,1,1,1,1,3,Tier 3,40,None
7.16,1,2,2,1,1,0,1,1,4,Tier 1,68,Service
9.79,1,5,2,0,1,1,0,0,3,Tier 2,54,None
6.8,3,5,1,0,5,1,0,0,2,Tier 2,44,None
9.46,3,3,2,1,2,1,1,0,2,Tier 2,88,Product
9.73,0,2,5,1,5,1,0,1,1,Tier 2,85,Product
8.78,0,5,3,0,2,1,1,1,4,Tier 1,72,None
8.64,1,2,1,1,1,0,1,1,5,Tier 1,63,None
8.89,1,1,4,0,2,0,1,1,0,Tier 3,62,None
7.23,2,1,4,1,2,1,0,1,4,Tier 1,48,None
8.64,1,2,4,1,1,0,0,0,0,Tier 3,99,None
8.3,2,5,2,0,2,0,0,0,5,Tier 3,45,None
9.42,0,3,1,1,1,1,1,1,2,Tier 3,66,None
9.86,3,4,5,0,5,0,1,0,1,Tier 2,84,None
6.24,0,3,5,1,1,0,0,0,1,Tier 3,79,None
8.53,3,4,3,1,5,0,0,0,0,Tier 2,44,None
7.58,0,5,4,0,3,0,1,0,3,Tier 3,93,Service
9.29,2,3,4,0,3,1,1,1,2,Tier 3,75,None
7.83,3,4,1,1,5,1,1,1,1,Tier 2,82,Service
8.43,1,4,4,0,4,1,0,1,5,Tier 2,54,None
9.11,1,3,3,0,5,1,1,1,0,Tier 2,63,None
7.12,3,1,5,0,5,0,1,0,1,Tier 1,65,Service
6.2,2,2,3,1,3,0,0,1,5,Tier 1,59,None
9.64,3,4,1,1,3,1,1,1,3,Tier 3,60,None
7.01,2,4,1,1,1,0,1,1,4,Tier 3,89,Service
6.6,3,1,2,1,5,0,1,1,4,Tier 3,65,Service
6.78,1,3,3,0,2,1,1,0,2,Tier 1,98,Service
7.01,2,2,1,0,5,1,0,1,2,Tier 1,96,Service
7.76,2,2,3,0,3,1,0,0,5,Tier 2,95,Service
7.55,2,5,3,1,2,0,0,0,0,Tier 2,79,Service
9.52,3,3,4,1,1,0,1,0,0,Tier 1,44,None
7.72,1,5,3,0,3,0,1,1,5,Tier 2,79,Service
8.69,0,1,2,0,3,1,1,1,4,Tier 3,45,None
8.6,2,1,5,0,4,0,1,0,3,Tier 3,92,None
8.3,1,4,5,0,2,0,0,1,0,Tier 3,65,None
8.29,2,5,2,0,3,1,0,0,0,Tier 2,54,None
9.25,2,5,2,0,2,1,1,1,5,Tier 3,44,None
6.31,1,2,3,0,4,0,1,0,4,Tier 1,71,None
6.26,1,5,3,0,2,1,0,1,3,Tier 3,70,None
8.03,3,5,2,1,1,1,1,1,4,Tier 2,56,None
8.99,2,2,4,0,4,1,1,0,3,Tier 1,86,None
7.82,3,3,4,1,5,1,0,1,1,Tier 1,94,Service
7.44,3,2,3,1,4,1,0,0,3,Tier 3,44,None
9.45,0,3,2,0,4,1,0,0,3,Tier 2,81,None
8.39,0,5,3,0,5,1,1,0,5,Tier 1,80,None
6.56,2,5,1,0,3,0,0,0,0,Tier 3,83,Service
8.63,2,1,5,1,3,1,1,1,1,Tier 3,61,None
9.69,3,2,2,0,4,1,1,1,5,Tier 1,60,None
8.72,1,3,4,1,4,1,1,0,3,Tier 3,96,Product
7.05,0,2,4,1,4,1,0,1,5,Tier 2,46,None
7.07,1,5,2,1,1,1,0,0,5,Tier 3,69,Service
6.74,0,5,2,0,4,1,0,1,5,Tier 2,52,None
9.33,0,3,2,0,4,0,1,0,1,Tier 1,92,None
6.34,1,3,3,1,5,1,1,1,1,Tier 2,90,None
8.11,1,2,5,1,2,0,1,0,0,Tier 1,78,Service
9.06,0,4,1,0,3,0,0,0,2,Tier 3,66,None
10.0,3,3,3,0,4,0,0,0,4,Tier 2,43,None
